Date,Open,High,Low,Close,Adj Close,Volume
2017-04-03,121.449997,121.500000,120.330002,121.019997,114.913910,3103100
2017-04-04,120.889999,121.110001,120.639999,121.080002,114.970871,2462600
2017-04-05,121.489998,122.019997,120.440002,120.589996,114.505592,3905800
2017-04-06,120.690002,121.260002,120.379997,120.970001,114.866432,2056100
2017-04-07,120.839996,121.290001,120.589996,120.879997,114.780968,1997000
2017-04-10,121.040001,121.510002,120.699997,121.029999,114.923416,1669500
2017-04-11,120.870003,121.000000,120.059998,120.989998,114.885399,2895500
2017-04-12,120.879997,120.989998,120.230003,120.370003,114.296692,1967200
2017-04-13,120.150002,120.559998,119.550003,119.550003,113.518089,2852200
2017-04-17,119.879997,120.610001,119.680000,120.589996,114.505592,3198700
2017-04-18,120.199997,120.570000,119.849998,120.330002,114.258720,1865800
2017-04-19,120.720001,120.919998,120.080002,120.230003,114.163773,1806900
2017-04-20,120.589996,121.430000,120.370003,121.220001,115.103821,1783400
2017-04-21,121.209999,121.209999,120.610001,120.830002,114.733505,2006500
2017-04-24,122.169998,122.279999,121.879997,122.110001,115.948906,2178800
2017-04-25,122.559998,123.089996,122.519997,122.870003,116.670570,2145200
2017-04-26,122.900002,123.449997,122.849998,122.900002,116.699051,3080100
2017-04-27,123.120003,123.209999,122.690002,123.019997,116.812988,1868200
2017-04-28,123.160004,123.209999,122.550003,122.610001,116.423676,1795800
2017-05-01,122.930000,123.190002,122.620003,122.930000,116.727547,1983100
2017-05-02,123.089996,123.250000,122.699997,122.930000,116.727547,1756900
2017-05-03,122.589996,122.779999,122.279999,122.629997,116.442665,3691000
2017-05-04,122.830002,122.830002,122.160004,122.720001,116.528130,1564300
2017-05-05,122.949997,123.330002,122.680000,123.330002,117.107346,2057700
2017-05-08,123.360001,123.449997,122.900002,123.139999,116.926941,2150900
2017-05-09,123.360001,123.430000,122.849998,123.099998,116.888947,1846200
2017-05-10,123.089996,123.379997,122.930000,123.370003,117.145325,1468500
2017-05-11,123.019997,123.129997,122.330002,123.010002,116.803490,1499600
2017-05-12,122.910004,122.910004,122.599998,122.769997,116.575600,1235300
2017-05-15,123.070000,123.589996,123.040001,123.430000,117.202293,3097000
2017-05-16,123.629997,123.650002,123.070000,123.360001,117.135834,2128400
2017-05-17,122.309998,122.559998,121.070000,121.139999,115.027847,3703500
2017-05-18,120.940002,122.019997,120.849998,121.500000,115.369698,2883400
2017-05-19,121.910004,122.769997,121.820000,122.370003,116.195786,2144200
2017-05-22,122.669998,123.099998,122.639999,123.019997,116.812988,1810100
2017-05-23,123.250000,123.389999,122.949997,123.230003,117.012398,1796600
2017-05-24,123.440002,123.660004,123.230003,123.589996,117.354233,1552200
2017-05-25,123.900002,124.269997,123.790001,124.110001,117.847992,1492300
2017-05-26,124.000000,124.150002,123.930000,124.089996,117.828995,1320800
2017-05-30,123.870003,124.059998,123.709999,123.889999,117.639091,1348300
2017-05-31,124.010002,124.089996,123.309998,123.849998,117.601128,2043800
2017-06-01,124.169998,125.000000,123.959999,125.000000,118.693085,1926700
2017-06-02,125.089996,125.580002,124.870003,125.410004,119.082413,2839300
2017-06-05,125.419998,125.500000,125.220001,125.250000,118.930481,1494200
2017-06-06,124.959999,125.290001,124.779999,124.930000,118.626625,2985200
2017-06-07,125.120003,125.239998,124.680000,125.070000,118.759560,1253300
2017-06-08,125.120003,125.529999,124.879997,125.290001,118.968468,1826700
2017-06-09,125.480003,126.019997,124.449997,125.190002,118.873512,2585600
2017-06-12,125.059998,125.199997,124.629997,125.169998,118.854515,1973500
2017-06-13,125.519997,125.839996,125.320000,125.790001,119.443237,1567400
